OBJECTID,ISO,NAME_0,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,FIPS_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,FIPS_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,NAME_5,TYPE_5,ENGTYPE_5,VALIDFR_5,VALIDTO_5,Shape_Leng,Shape_Area,bngy,psgc_bgy,_mean,_median,_stdev,_min,_max
"74537",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Salvacion,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.12137988629,0.00056677291,Salvacion,"160202099",7720.14009661835,7772.22222222222,402.493981401332,6574.55555555556,8442.33333333333
"74542",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Amparo,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.24229876171,0.00187117971,Amparo,"160202006",7004.23473339291,7152.55555555556,1102.14222129588,3113.77777777778,8663.88888888889
"74573",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Maibu,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.20588936148,0.00135092627,Maibu,"160202063",7575.02923976608,7590.33333333333,435.969742561323,6300.33333333333,8569.55555555555
"74576",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Don Francisco,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.07823304641,0.00032738446,Don Francisco,"160202102",7877.76909722223,7909.44444444445,369.772698420501,7062,8629.22222222222
"74583",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Nong-Nong,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.16362241280,0.00139536170,Nong-nong,"160202096",7669.34488251693,7717.66666666667,537.000416746153,6199.44444444444,8810.66666666667
"74598",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bilay,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09715384171,0.00049476243,Bilay,"160202021",8009.73817381738,8049,340.721275103554,6842.55555555556,8513.11111111111
"74606",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bitan-Agan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.11346511847,0.00065930738,Bitan-agan,"160202023",8062.67005937235,8106.11111111111,374.247107600882,6214.11111111111,8653.88888888889
"74641",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Tungao,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.51343718606,0.00640804937,Tungao,"160202087",8194.83689793081,8294.38888888889,468.85962292486,5047.11111111111,8960
"74643",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Dulag,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13413997722,0.00085201038,Dulag,"160202094",8073.59620596206,8243.83333333333,827.322009541208,5054.66666666667,8974.88888888889
"74661",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Maguinda,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.14952741714,0.00130732071,Maguinda,"160202060",7864.10685398042,7892.66666666667,317.478127082427,6480,8570.33333333333
"74673",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Florida,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.30381229740,0.00149093429,Florida,"160202095",8029.72066822067,8126.38888888889,633.396913868641,4116.44444444444,8956.22222222222
"74678",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Manila de Bugabus,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.20994335421,0.00172767963,Manila de Bugabus,"160202065",8427.14998380304,8467.22222222222,297.698721672095,7357,9012.88888888889
"74685",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bugabus,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.11085227595,0.00067805099,Bugabus,"160202026",7899.51159072742,8098.44444444444,678.994130426277,5771.22222222222,8799.88888888889
"74740",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,San Mateo,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.08766745425,0.00034902925,San Mateo,"160202076",7445.99487179487,7520.22222222222,841.136866778328,5351.55555555556,8529.22222222222
